0.00000	2.63119
0.00169	2.62477
0.00297	2.62092
0.00413	2.61963
0.00523	2.61835
0.00669	2.61706
0.00814	2.61321
0.01006	2.61321
0.01209	2.61321
0.01401	2.61578
0.01581	2.61706
0.01767	2.61963
0.01953	2.61963
0.02157	2.62220
0.02320	2.62477
0.02529	2.62606
0.02686	2.62734
0.02860	2.62862
0.03029	2.63119
0.03192	2.63505
0.03360	2.63633
0.03523	2.63761
0.03698	2.64018
0.03866	2.64147
0.04023	2.64404
0.04198	2.64789
0.04366	2.65174
0.04535	2.65303
0.04715	2.65560
0.04884	2.65945
0.05035	2.66202
0.05203	2.66459
0.05366	2.66844
0.05541	2.67101
